,train,source,dest,dist
1069,JAMMU RAJDHANI ,JAMMU TAWI     ,NEW DELHI      ,577
1070,SMNH JBP EXPRES,SOMNATH        ,JABALPUR       ,1570
1071,AMARNATH EXPRES,GUWAHATI       ,JAMMU TAWI     ,2431
1072,RJPB BANKA EXP ,RAJENDRANAGAR T,BANKA          ,272
1073,PORBANDAR EXP  ,KOCHUVELI      ,PORBANDAR      ,2720
1074,OKHA BSB EXPRES,OKHA           ,VARANASI JN    ,2041
1075,NAGALAND EXPRES,DIMAPUR        ,KAMAKHYA       ,256
1076,GOMTI EXPRESS  ,NEW DELHI      ,LUCKNOW NR     ,513
1077,ADI JAT EXPRESS,AHMEDABAD JN   ,JAMMU TAWI     ,1477
1078,DNR SHC LINK EX,DANAPUR        ,SAHARSA JN     ,229
1079,FARKKA EXPRESS ,DELHI          ,MALDA TOWN     ,1418
1080,PATNA EXPRESS  ,ERNAKULAM JN   ,PATNA JN       ,2794
1081,UTKAL EXPRESS  ,PURI           ,HARIDWAR JN    ,2370
1082,ANVT SRC SF EXP,ANAND VIHAR TRM,SANTRAGACHI JN ,1570
1083,ERS MILLENUM EX,H NIZAMUDDIN   ,ERNAKULAM JN   ,2807
1084,LJN JHS INT EXP,LUCKNOW NE     ,JHANSI JN      ,294
1085,VSKP SC SPL    ,VISAKHAPATNAM  ,SECUNDERABAD JN,701
1086,ROU KRPU EXPRES,ROURKELA       ,KORAPUT        ,645
1087,KONDAVEEDU EXP ,YESVANTPUR JN  ,MACHILIPATNAM  ,778
1088,BGKT BSP SPL   ,BHAGAT KI KOTHI,BILASPUR JN    ,1818
1089,NZM JAN SHATABD,AJMER JN       ,H NIZAMUDDIN   ,386
1090,PURI SRC SPL   ,PURI           ,SANTRAGACHI JN ,494
1091,DHN ALAPPUZHA E,DHANBAD JN     ,ALLEPPEY       ,2536
1092,CCT BVC EXPRESS,KAKINADA TOWN  ,BHAVNAGAR TRMUS,2053
1093,TRIVENI EXP    ,BAREILLY       ,SHAKTI NAGAR   ,742
1094,SUR BIJAPUR EXP,SOLAPUR JN     ,BIJAPUR        ,109
1095,SKTN BSB INTER ,SHAKTI NAGAR   ,VARANASI JN    ,230
1096,PAMANI EXPRESS ,TIRUPATI       ,MANNARGUDI     ,463
1097,MHOW AK FAST PA,INDORE JN MG   ,AKOLA JN       ,313
1098,BJP SUR EXP    ,BIJAPUR        ,SOLAPUR JN     ,109
1099,JHARKHAND EXP  ,ANAND VIHAR TRM,HATIA          ,1334
1100,UHL HW LINK JSH,UNA HIMACHAL   ,HARIDWAR JN    ,368
1101,PRERANA EXPRESS,NAGPUR         ,AHMEDABAD JN   ,957
1102,GNC INDORE EXP ,GANDHINAGAR CAP,INDORE JN BG   ,571
1103,KANNYAKUMARI EX,HOWRAH JN      ,KANYAKUMARI    ,2431
1104,CHRM DURG PAS E,CHIRMIRI       ,DURG           ,381
1105,JHRKHND S KRANT,RANCHI         ,NEW DELHI      ,1305
1106,IND GWALIAR EXP,INDORE JN BG   ,GWALIOR        ,562
1107,HIMSAGAR EXP   ,JAMMU TAWI     ,KANYAKUMARI    ,3715
1108,TPTY SC EXP    ,TIRUPATI       ,SECUNDERABAD JN,801
1109,SAURASHTRA MAIL,OKHA           ,MUMBAI CENTRAL ,990
1110,BGKT DEE EXP   ,BHAGAT KI KOTHI,DELHI S ROHILLA,625
1111,UDZ BDTS SF EXP,UDAIPUR CITY   ,BANDRA TERMINUS,945
1112,KOYNA EXPRESS  ,C SHAHUMHARAJ T,MUMBAI CST     ,518
1113,CKP HWH PAS    ,CHAKRADHARPUR  ,HOWRAH JN      ,441
1114,OKHA SOMNATH EX,OKHA           ,SOMNATH        ,442
1115,NDLS JUC EXPRES,NEW DELHI      ,JALANDHAR CITY ,439
1116,DEHRADUN SHTBDI,DEHRADUN       ,NEW DELHI      ,315
1117,SC  SHM WKLY EX,SECUNDERABAD JN,SHALIMAR       ,1580
1118,DARBHANGA EXP  ,PUNE JN        ,DARBHANGA JN   ,1947
1119,GHY BME BKN EXP,GUWAHATI       ,BARMER         ,2473
1120,CHENNAI LTT EXP,CHENNAI CENTRAL,LOKMANYATILAK T,1268
1121,PA BILASPUR EXP,PUNE JN        ,BILASPUR JN    ,1300
1122,PURI SNSI EXP  ,PURI           ,SAINAGAR SHIRDI,1685
1123,POORABIYA EXP  ,ADRSH NGR DELHI,SAHARSA JN     ,1210
1124,GKP YPR EXP    ,GORAKHPUR JN   ,YESVANTPUR JN  ,2473
1125,PUNE HATIA SUP ,PUNE JN        ,HATIA          ,1774
1126,COROMANDAL EXP ,HOWRAH JN      ,CHENNAI CENTRAL,1662
1127,TATA  DNR EXP  ,TATANAGAR JN   ,DANAPUR        ,508
1128,THIRUKKURAL EXP,H NIZAMUDDIN   ,KANYAKUMARI    ,2921
1129,JSM BKN EXPRESS,JAISALMER      ,BIKANER JN     ,319
1130,NED SBC EXP    ,H SAHIB NANDED ,BANGALORE CY JN,1042
1131,JHARKHAND S J E,HATIA          ,ANAND VIHAR TRM,1334
1132,PNBE SGRL LNK E,PATNA JN       ,SINGRAULI      ,481
1133,RAIL MOTOR     ,SIMLA          ,KALKA          ,96
1134,HATE BAZARE EXP,SAHARSA JN     ,SEALDAH        ,589
1135,CSTM SOLAPUR EX,MUMBAI CST     ,SOLAPUR JN     ,455
1136,NDLS HWH YUVA  ,NEW DELHI      ,HOWRAH JN      ,1447
1137,BEGAMPURA EXP  ,JAMMU TAWI     ,VARANASI JN    ,1261
1138,JBP REWA PASS  ,JABALPUR       ,REWA           ,239
1139,SOLAPUR CSTM EX,SOLAPUR JN     ,MUMBAI CST     ,455
1140,AKAL TAKHT EXP ,SEALDAH        ,AMRITSAR JN    ,1898
1141,NDLS MOGA SHT  ,NEW DELHI      ,MOGA           ,398
1142,LTT NZM AC EXP ,LOKMANYATILAK T,H NIZAMUDDIN   ,1521
1143,BBS PNBE SPL   ,BHUBANESWAR    ,PATNA JN       ,865
1144,DECCAN QUEEN   ,PUNE JN        ,MUMBAI CST     ,192
1145,SC TPTY SUP EXP,SECUNDERABAD JN,TIRUPATI       ,801
1146,CDG LJN EXPRESS,CHANDIGARH     ,LUCKNOW NE     ,724
1147,SVDK PREMIUM EX,YESVANTPUR JN  ,SHMATA VD KATRA,3196
1148,ROCKFORT EXPRES,TIRUCHCHIRAPALI,CHENNAI EGMORE ,336
1149,GUJARAT SMPRK K,AHMEDABAD JN   ,H NIZAMUDDIN   ,1085
1150,MLDT PNBE EXPRE,MALDA TOWN     ,PATNA JN       ,399
1151,JAMMU GKP EXP  ,JAMMU TAWI     ,GORAKHPUR JN   ,1248
1152,JHARKHAND EXPRE,ANAND VIHAR TRM,HATIA          ,1302
1153,UHP DEE AC SUP ,UDHAMPUR       ,DELHI S ROHILLA,631
1154,NDT UDZ SPL    ,NATHDWARA      ,UDAIPUR CITY   ,58
1155,BL SHRAMIK EXP ,MUZAFFARPUR JN ,VALSAD         ,1781
1156,HIMGIRI EXPRESS,JAMMU TAWI     ,HOWRAH JN      ,2021
1157,HIMACHAL EXP   ,DELHI          ,AMB  ANDAURA   ,399
1158,BKN HWH SUPFAST,BIKANER JN     ,HOWRAH JN      ,1882
1159,ADI DURONTO EXP,PUNE JN        ,AHMEDABAD JN   ,635
1160,BBN PURI EXP   ,BARABIL        ,PURI           ,398
1161,PUNE VERAVAL EX,PUNE JN        ,VERAVAL        ,1066
1162,MANGALORE EXP  ,PUDUCHERRY     ,MANGALORE CNTL ,863
1163,VSG SBC LINK EX,VASCO DA GAMA  ,BANGALORE CY JN,705
1164,BJU LJN EXP    ,BARAUNI JN     ,LUCKNOW NE     ,674
1165,HYB PBN PAS    ,HYDERABAD DECAN,PARBHANI JN    ,340
1166,DEE GARIBRATH  ,BANDRA TERMINUS,DELHI S ROHILLA,1431
1167,KOAA JYG EXP   ,KOLKATA        ,JAYNAGAR       ,620
1168,SGRL INTERCITY ,VARANASI JN    ,SINGRAULI      ,211
1169,HYB AII  EXP   ,HYDERABAD DECAN,AJMER JN       ,1868
1170,DBRG SBC EXPRES,DIBRUGARH      ,BANGALORE CY JN,3569
1171,RANICHENNAMA EX,C SHAHUMHARAJ T,BANGALORE CY JN,795
1172,GOMTI EXP      ,LUCKNOW NR     ,NEW DELHI      ,513
1173,HAMPI EXPRESS  ,HUBLI JN       ,MYSORE JN      ,688
1174,UAM MTP PASSR  ,UDAGAMANDALAM  ,METUPALAIYAM   ,46
1175,MUGR SC EXPRESS,MANUGURU       ,SECUNDERABAD JN,331
1176,NED HYB PAS    ,H SAHIB NANDED ,HYDERABAD DECAN,281
1177,KYQ GIMB EXPRES,KAMAKHYA       ,GANDHIDHAM BG  ,3161
1178,GIMB VSKP EXP  ,GANDHIDHAM BG  ,VISAKHAPATNAM  ,2112
1179,OKHA PURI EXP  ,OKHA           ,PURI           ,2778
1180,KOLKATA EXPRESS,AHMEDABAD JN   ,KOLKATA        ,2608
1181,SADBHAVNA EXP  ,DELHI          ,RAXAUL JN      ,1293
1182,CHAMBAL EXPRESS,MATHURA JN     ,HOWRAH JN      ,1457
1183,MYS HOWRAH EXP ,MYSORE JN      ,HOWRAH JN      ,2111
1184,HATIA EXPRESS  ,LOKMANYATILAK T,HATIA          ,1706
1185,VIDARBHA EXPRES,GONDIA JN      ,MUMBAI CST     ,967
1186,KOAA SMI EXPRES,KOLKATA        ,SITAMARHI      ,607
1187,GWL SUSHASAN EX,GONDA JN       ,GWALIOR        ,912
1188,GUWAHATI EXP   ,TRIVANDRUM CNTL,GUWAHATI       ,3552
1189,CPR MTJ EXPRESS,CHHAPRA        ,MATHURA JN     ,884
1190,LJN CPR SPL    ,LUCKNOW NE     ,CHHAPRA        ,506
1191,NAGAWALI  EXP  ,H SAHIB NANDED ,SAMBALPUR      ,1479
1192,GITANJALI EXP  ,HOWRAH JN      ,MUMBAI CST     ,1968
1193,JAT ADI EXPRESS,JAMMU TAWI     ,AHMEDABAD JN   ,1476
1194,BIKANER EXPRESS,KOCHUVELI      ,BIKANER JN     ,3002
1195,LTT NZB EXPRESS,LOKMANYATILAK T,NIZAMABAD      ,705
1196,ST MALDA TOWN E,SURAT          ,MALDA TOWN     ,2123
1197,ANANYA EXPRESS ,UDAIPUR CITY   ,SEALDAH        ,2141
1198,BKN PURI EXP   ,BIKANER JN     ,PURI           ,2097
1199,BKN HW SPL     ,BIKANER JN     ,HARIDWAR JN    ,692
1200,HWH TPJ EXPRESS,HOWRAH JN      ,TIRUCHCHIRAPALI,2025
1201,BCT JP EXPRESS ,MUMBAI CENTRAL ,JAIPUR         ,1159
1202,CHALUKYA  EXP  ,TIRUNELVELI    ,DADAR          ,1854
1203,BDTS SMPRK K EX,BANDRA TERMINUS,H NIZAMUDDIN   ,1366
1204,SOLAPUR EXP    ,YESVANTPUR JN  ,SOLAPUR JN     ,654
1205,ASR KIR EXPRESS,AMRITSAR JN    ,KATIHAR JN     ,1805
1206,GWL INDB EXPRES,GWALIOR        ,INDORE JN BG   ,562
1207,HABIBGANJ EXP  ,LOKMANYATILAK T,HABIBGANJ      ,821
1208,NDLS   DURONTO ,HOWRAH JN      ,NEW DELHI      ,1446
1209,BUDH PURNIMA EX,RAJGIR         ,VARANASI JN    ,410
1210,JP DOUBLE DCKER,DELHI S ROHILLA,JAIPUR         ,303
1211,TEN JAMMU EXP  ,TIRUNELVELI    ,JAMMU TAWI     ,3559
1212,LJN R GARIBRATH,LUCKNOW NE     ,RAIPUR JN      ,919
1213,PDY HOWRAH EXP ,PUDUCHERRY     ,HOWRAH JN      ,1920
1214,ERNAD EXPRESS  ,NAGERCOIL JN   ,MANGALORE CNTL ,690
1215,SULTANPUR EXP  ,AHMEDABAD JN   ,SULTANPUR      ,1559
1216,INDORE GNC EXP ,INDORE JN BG   ,GANDHINAGAR CAP,571
1217,ERS PATNA EXP  ,ERNAKULAM JN   ,PATNA JN       ,2987
1218,ANUVRAT EXP    ,BIKANER JN     ,CHENNAI CENTRAL,2565
1219,BBS PDY EXPRESS,BHUBANESWAR    ,PUDUCHERRY     ,1424
1220,KRMI LTT AC SUP,KARMALI        ,LOKMANYATILAK T,710
1221,KLK BME EXPRESS,KALKA          ,BARMER         ,1117
1222,GUJRAT S KRANTI,H NIZAMUDDIN   ,AHMEDABAD JN   ,1085
1223,SDAH DURONTO EX,NEW DELHI      ,SEALDAH        ,1453
1224,TPTY MAS EXPRES,TIRUPATI       ,CHENNAI CENTRAL,151
1225,MANGALOREEXP   ,YESVANTPUR JN  ,MANGALORE CNTL ,846
1226,PNBE ERS EXPRES,PATNA JN       ,ERNAKULAM JN   ,2794
1227,RAL SC PASSENGE,REPALLE        ,SECUNDERABAD JN,341
1228,UJN AK F PASS  ,UJJAIN JN      ,AKOLA JN       ,375
1229,SAMTA EXPRESS  ,H NIZAMUDDIN   ,VISAKHAPATNAM  ,1911
1230,BL  PURI S F EX,VALSAD         ,PURI           ,2071
1231,TPTY SC SPL    ,TIRUPATI       ,SECUNDERABAD JN,737
1232,T N SMPRK KRNTI,H NIZAMUDDIN   ,MADURAI JN     ,2676
1233,COAL FIELD EXP ,HOWRAH JN      ,DHANBAD JN     ,259
1234,ANVT REWA EXP  ,ANAND VIHAR TRM,REWA           ,848
1235,GIMB PURI EXP  ,GANDHIDHAM BG  ,PURI           ,2431
1236,COIMBATORE EXP ,RAMESWARAM     ,COIMBATORE JN  ,506
1237,NED  SRC SUP EX,H SAHIB NANDED ,SANTRAGACHI JN ,1653
1238,FD DLI EXP     ,FAIZABAD JN    ,DELHI          ,615
1239,SHANE PUNJAB   ,AMRITSAR JN    ,NEW DELHI      ,448
1240,UDAIPUR CITY EX,INDORE JN BG   ,UDAIPUR CITY   ,479
1241,TAPOVAN EXP    ,H SAHIB NANDED ,MUMBAI CST     ,610
1242,BIKANER AC EXP ,COIMBATORE JN  ,BIKANER JN     ,2781
1243,ANVT MLDT EXP  ,ANAND VIHAR TRM,MALDA TOWN     ,1408
1244,KUMBHA EXPRESS ,HOWRAH JN      ,HARIDWAR JN    ,1536
1245,NDLS BTI SHTBDI,NEW DELHI      ,BHATINDA JN    ,299
1246,KORBA EXPRESS  ,TRIVANDRUM CNTL,KORBA          ,2515
1247,MARATHWADA EXP ,DHARMABAD      ,MANMAD JN      ,422
1248,PUNE GWALIOR EX,PUNE JN        ,GWALIOR        ,1372
1249,RANAKPUR EXPRES,BANDRA TERMINUS,BIKANER JN     ,1213
1250,PURI HWH G RATH,PURI           ,HOWRAH JN      ,502
1251,OKHA ADI PASS  ,OKHA           ,AHMEDABAD JN   ,499
1252,CDG DBRG EXPRES,CHANDIGARH     ,DIBRUGARH      ,2661
1253,CPR LJN SPL    ,CHHAPRA        ,LUCKNOW NE     ,506
1254,GANGAKAVERI EXP,CHHAPRA        ,CHENNAI CENTRAL,2342
1255,ADI PURI EXP   ,AHMEDABAD JN   ,PURI           ,1992
1256,DBG KOAA EXPRES,DARBHANGA JN   ,KOLKATA        ,539
1257,JU GIMB SF EXP ,JODHPUR JN     ,GANDHIDHAM BG  ,559
1258,CHAMBAL EXP    ,HOWRAH JN      ,MATHURA JN     ,1457
1259,DBB APDJ SPECIA,DHUBRI         ,ALIPUR DUAR JN ,102
1260,SWATANTRTA S EX,NEW DELHI      ,DARBHANGA JN   ,1166
1261,KOAA LGL EXPRES,KOLKATA        ,LALGOLA        ,223
1262,VSKP GARIB RATH,SECUNDERABAD JN,VISAKHAPATNAM  ,701
1263,MALABAR EXPRESS,MANGALORE CNTL ,TRIVANDRUM CNTL,634
1264,BSB MYS EXP    ,VARANASI JN    ,MYSORE JN      ,2706
1265,ASR HSR PASNGER,AMRITSAR JN    ,SADULPUR JN    ,416
1266,AMRITSAR EXP   ,HOWRAH JN      ,AMRITSAR JN    ,1922
1267,VSG PATNA EXP  ,VASCO DA GAMA  ,PATNA JN       ,2418
1268,TALGUPPA EXP   ,BANGALORE CY JN,TALGUPPA       ,371
1269,CHENNAI EXPRESS,METUR DAM      ,CHENNAI EGMORE ,393
1270,OKHA  NDT EXP  ,OKHA           ,NATHDWARA      ,1136
1271,BVC BDTS EXPRES,BHAVNAGAR TRMUS,BANDRA TERMINUS,778
1272,MDS KOTA MTC EX,MANDASOR       ,MEERUT CITY    ,804
1273,KOTA SGNR SF EX,KOTA JN        ,SHRI GANGANAGAR,919
1274,KOTA UHP EXPRES,KOTA JN        ,UDHAMPUR       ,1094
1275,BSP MAS EXP    ,BILASPUR JN    ,CHENNAI CENTRAL,1412
1276,BLGT KOAA EXP  ,BALURGHAT      ,KOLKATA        ,437
1277,KCVL LTT SF EXP,KOCHUVELI      ,LOKMANYATILAK T,1813
1278,KIR ASR EXPRESS,KATIHAR JN     ,AMRITSAR JN    ,1807
1279,BDTS LJN EXPRES,BANDRA TERMINUS,LUCKNOW NE     ,1687
1280,JBP NDLS SUP EX,JABALPUR       ,NEW DELHI      ,1038
1281,VIVEK EXPRESS  ,OKHA           ,TUTICORIN      ,2735
1282,NZM GARIB RATH ,BANDRA TERMINUS,H NIZAMUDDIN   ,1366
1283,RMR DLI LINK EX,RAMNAGAR       ,DELHI          ,239
1284,JSM DLI EXPRESS,JAISALMER      ,DELHI          ,921
1285,BHUJ BDTS EXP  ,BHUJ           ,BANDRA TERMINUS,839
1286,TAMRALIPTA EXP ,DIGHA FLAG STN ,HOWRAH JN      ,186
1287,JBP LTT SUP SPL,JABALPUR       ,LOKMANYATILAK T,981
1288,GRD LINK PAS EX,GIRIDIH        ,MADHUPUR JN    ,335
1289,DARBHANGA  EXP ,LOKMANYATILAK T,DARBHANGA JN   ,1880
1290,UDZ KURJ EXP   ,UDAIPUR CITY   ,KHAJURAHO      ,1092
1291,HOSPET PASSR   ,BANGALORE CY JN,HUBLI JN       ,469
1292,VSKP GIMB EXP  ,VISAKHAPATNAM  ,GANDHIDHAM BG  ,2112
1293,SURAT PASSENGER,BHUSAVAL JN    ,SURAT          ,336
1294,GHY KCVL SPECIA,GUWAHATI       ,KOCHUVELI      ,3650
1295,TPTY RMM EXP   ,TIRUPATI       ,RAMESWARAM     ,828
1296,MAHARASHTRA EXP,GONDIA JN      ,C SHAHUMHARAJ T,1346
1297,SUR KOP EXP    ,SOLAPUR JN     ,C SHAHUMHARAJ T,315
1298,JNANESWARISUPDL,HOWRAH JN      ,LOKMANYATILAK T,1952
1299,BGP NDLS EXP   ,BHAGALPUR      ,NEW DELHI      ,1219
1300,NGP INDORE EXP ,NAGPUR         ,INDORE JN BG   ,607
1301,ASR NDLS EXP   ,AMRITSAR JN    ,NEW DELHI      ,448
1302,BSP PNBE EXP   ,BILASPUR JN    ,PATNA JN       ,969
1303,BE LTT EXPRESS ,BAREILLY       ,LOKMANYATILAK T,1608
1304,MOUR DHWAJ EXP ,MUZAFFARPUR JN ,JAMMU TAWI     ,1515
1305,MTM SC EXP     ,MACHILIPATNAM  ,SECUNDERABAD JN,431
1306,KISAN EXPRESS  ,BHATINDA JN    ,DELHI          ,337
1307,DBRG MS EXPRESS,DIBRUGARH      ,CHENNAI EGMORE ,3346
1308,BSB OKHA EXP   ,VARANASI JN    ,OKHA           ,2041
1309,SHM PNBE DURONT,SHALIMAR       ,PATNA JN       ,546
1310,VSKP SHM SF EXP,VISAKHAPATNAM  ,SHALIMAR       ,880
1311,RNC BSB EXPRESS,RANCHI         ,VARANASI JN    ,572
1312,PNBE DHN EXPRES,PATNA JN       ,DHANBAD JN     ,373
1313,NORTH EAST EXP ,ANAND VIHAR TRM,GUWAHATI       ,1866
1314,PRATAP EXPRESS ,KOLKATA        ,BIKANER JN     ,1885
1315,DDN MFP EXP    ,DEHRADUN       ,MUZAFFARPUR JN ,1124
1316,KYQ JP KAVIGURU,KAMAKHYA       ,JAIPUR         ,2212
1317,LUCKNOW SUP EXP,LOKMANYATILAK T,LUCKNOW NE     ,1412
1318,COA  LTT EXPRES,KAKINADA PORT  ,LOKMANYATILAK T,1300
1319,PUNALUR PASS   ,MADURAI JN     ,PUNALUR        ,410
1320,MAS NSL EXPRESS,CHENNAI CENTRAL,NAGARSOL       ,1369
1321,SC  UBL EXP    ,SECUNDERABAD JN,HUBLI JN       ,661
1322,CHTSGRH S KRNTI,H NIZAMUDDIN   ,DURG           ,1284
1323,LGL KOAA EXPRES,LALGOLA        ,KOLKATA        ,223
1324,MANDOR EXPRESS ,JODHPUR JN     ,DELHI          ,620
1325,SADBHAWANA EXP ,RAXAUL JN      ,DELHI          ,1236
1326,LTT BBS SUP EXP,LOKMANYATILAK T,BHUBANESWAR    ,1788
1327,KGP  PRR  EXRES,KHARAGPUR JN   ,PURULIA JN     ,208
1328,JP MYSORE EXP  ,JAIPUR         ,MYSORE JN      ,2479
1329,REWA CHRM F PAS,REWA           ,CHIRMIRI       ,402
1330,AII AF INTERCIT,AJMER JN       ,AGRA FORT      ,376
1331,HSR BDTS S F EX,HISAR          ,BANDRA TERMINUS,1408
1332,JU MS EXPRESS  ,JODHPUR JN     ,CHENNAI EGMORE ,2355
1333,MS TN LINK EXP ,CHENNAI EGMORE ,TUTICORIN      ,656
1334,BSP BKN SPECIAL,BILASPUR JN    ,BIKANER JN     ,1884
1335,TIRUMALA EXP   ,TIRUPATI       ,VISAKHAPATNAM  ,736
1336,JAT CNB EXPRESS,JAMMU TAWI     ,KANPUR CENTRAL ,1026
1337,BSP BPL PAS    ,BILASPUR JN    ,BHOPAL  JN     ,717
1338,SBG DNR SPECIAL,SAHIBGANJ JN   ,DANAPUR        ,306
1339,KOAA BLGT EXP  ,KOLKATA        ,BALURGHAT      ,437
1340,RATNACHAL EXP  ,VIJAYAWADA JN  ,VISAKHAPATNAM  ,351
1341,AK MHOW  F  PAS,AKOLA JN       ,INDORE JN MG   ,313
1342,TIRUPATI PASSR ,CHAMARAJANAGAR ,TIRUPATI       ,535
1343,CHEMMOZHI EXP  ,COIMBATORE JN  ,MANNARGUDI     ,335
1344,HWH NJP AC EXP ,HOWRAH JN      ,NEW JALPAIGURI ,561
1345,AII JU FAST PAS,AJMER JN       ,JODHPUR JN     ,244
1346,RAMESWARAM EXP ,OKHA           ,RAMESWARAM     ,3196
1347,GWL BJU MAIL   ,GWALIOR        ,BARAUNI JN     ,1057
1348,INTERCITY   EXP,BHAGALPUR      ,DANAPUR        ,231
1349,RNC GARIB RATH ,RANCHI         ,NEW DELHI      ,1341
1350,NED ASR SUP EXP,H SAHIB NANDED ,AMRITSAR JN    ,1941
1351,LTT SLN SUP EXP,LOKMANYATILAK T,SULTANPUR      ,1551
1352,NZM SC DURONTO ,H NIZAMUDDIN   ,SECUNDERABAD JN,1660
1353,RXL HWH EXPRESS,RAXAUL JN      ,HOWRAH JN      ,699
1354,B  G  EXPRESS  ,KAMAKHYA       ,DIMAPUR        ,256
1355,W B SMPRK KRNTI,DELHI          ,SEALDAH        ,1448
1356,AII PURI EXP   ,AJMER JN       ,PURI           ,2474
1357,KGM ANVT SHT   ,KATHGODAM      ,ANAND VIHAR TRM,271
1358,SC MUGR EXPRESS,SECUNDERABAD JN,MANUGURU       ,331
1359,SVDK KLK EXP   ,SHMATA VD KATRA,KALKA          ,492
1360,KHARAGPUR EXP  ,VILLUPURAM JN  ,KHARAGPUR JN   ,1767
1361,BHAGALPUR EXP  ,LOKMANYATILAK T,BHAGALPUR      ,1916
1362,UDZ NJP EXP    ,UDAIPUR CITY   ,NEW JALPAIGURI ,2236
1363,JUNGLE SAFARI  ,SILIGURI JN    ,SILIGURI       ,73
1364,PAHARIA EXPRESS,NEW JALPAIGURI ,DIGHA FLAG STN ,749
1365,JSM JU EXPRESS ,JAISALMER      ,JODHPUR JN     ,301
1366,KAVIGURU EXPRES,PORBANDAR      ,SANTRAGACHI JN ,2657
1367,RAJKOT REWA EXP,RAJKOT JN      ,REWA           ,1601
1368,KUTCH EXPRESS  ,BHUJ           ,BANDRA TERMINUS,839
1369,LTT LKO AC SPL ,LOKMANYATILAK T,LUCKNOW NR     ,1412
1370,PRG BE EXPRESS ,PRAYAG         ,BAREILLY       ,461
1371,SNSI PURI EXP  ,SAINAGAR SHIRDI,PURI           ,1685
1372,VSKP ASR HKG EX,VISAKHAPATNAM  ,AMRITSAR JN    ,2570
1373,SHRAMJEVI N EXP,NEW DELHI      ,RAJGIR         ,1103
1374,CDG SUP FAST   ,BANDRA TERMINUS,CHANDIGARH     ,1605
1375,LJN  INTERCITY ,AGRA CANTT     ,LUCKNOW NE     ,332
1376,HWH SSPN EXPRES,HOWRAH JN      ,SAI P NILAYAM  ,1763
1377,INDORE EXPRESS ,RAJENDRANAGAR T,INDORE JN BG   ,1361
1378,VSKP SC AC EXP ,VISAKHAPATNAM  ,SECUNDERABAD JN,701
1379,DWARKA  EXPRESS,GUWAHATI       ,OKHA           ,3237
1380,RMM OKHA EXPRES,RAMESWARAM     ,OKHA           ,3197
1381,JAN SHATABDI EX,COIMBATORE JN  ,MAYILADUTURAI J,362
1382,NLDM LKO SF SPL,NANGAL DAM     ,LUCKNOW NR     ,794
1383,DBRG ASR EXPRES,DIBRUGARH      ,AMRITSAR JN    ,2870
1384,BANDRA T EXP   ,GANDHIDHAM BG  ,BANDRA TERMINUS,859
1385,BSB SBP EXPRESS,VARANASI JN    ,SAMBALPUR      ,896
1386,SAPT KRANTI EXP,ANAND VIHAR TRM,MUZAFFARPUR JN ,1060
1387,NZM  BDTS  YUVA,H NIZAMUDDIN   ,BANDRA TERMINUS,1366
1388,PYG LKO PASS   ,PRAYAG GHAT    ,LUCKNOW NR     ,228
1389,JAT DURG EXP   ,JAMMU TAWI     ,DURG           ,1936
1390,REWANCHAL EXP  ,REWA           ,HABIBGANJ      ,555
1391,HIRAKUND EXP   ,AMRITSAR JN    ,VISAKHAPATNAM  ,2570
1392,INDB BARELLY EX,INDORE JN BG   ,BAREILLY       ,1044
1393,PARASNATH EXP  ,ASANSOL JN     ,BHAVNAGAR TRMUS,2318
1394,ALD DURONTO EXP,LOKMANYATILAK T,ALLAHABAD JN   ,1348
1395,SIDDHESHWAR EXP,MUMBAI CST     ,SOLAPUR JN     ,455
1396,YPR KAWR EXPRES,YESVANTPUR JN  ,KARWAR         ,794
1397,SBP YPR SPECIAL,SAMBALPUR      ,YESVANTPUR JN  ,1584
1398,JU JP SF EXP   ,JODHPUR JN     ,JAIPUR         ,313
1399,GKP DDN EXPRESS,GORAKHPUR JN   ,DEHRADUN       ,815
1400,AMRITHA EXPRESS,PALGHAT TOWN   ,TRIVANDRUM CNTL,376
1401,BIX INDB EXP   ,BHIND          ,INDORE JN BG   ,644
1402,UBL MRJ EXPRESS,HUBLI JN       ,MIRAJ JN       ,279
1403,KOAA ADI EXPRES,KOLKATA        ,AHMEDABAD JN   ,2608
1404,MUMBAI MAIL    ,SOLAPUR JN     ,GONDIA JN      ,1132
1405,BVC DEE LINK EX,BHAVNAGAR TRMUS,DELHI S ROHILLA,1159
1406,KGM DDN EXPRESS,KATHGODAM      ,DEHRADUN       ,335
1407,SAMPOORN K EXP ,NEW DELHI      ,RAJENDRANAGAR T,1001
1408,TPTY UBL PASS  ,TIRUPATI       ,HUBLI JN       ,579
1409,KTK SMPRK K EXP,H NIZAMUDDIN   ,YESVANTPUR JN  ,2277
1410,MS JODHPUR EXP ,CHENNAI EGMORE ,JODHPUR JN     ,2355
1411,AJNI LTT EXPRES,AJNI           ,LOKMANYATILAK T,1021
1412,AJMER SHTBDI   ,AJMER JN       ,NEW DELHI      ,443
1413,BSP TEN EXPRESS,BILASPUR JN    ,TIRUNELVELI    ,2504
1414,JAM JAT EXPRESS,JAMNAGAR       ,JAMMU TAWI     ,2000
1415,PURI AJMER EXP ,PURI           ,AJMER JN       ,2473
1416,YPR CHENNAI EXP,YESVANTPUR JN  ,CHENNAI CENTRAL,370
