,nodes,lat,lon
309,LUMDINGJN,25.7505782,93.1765539
310,VERAVAL,20.9158979,70.3628516
311,BHUSAVALJN,21.0469912,75.7883817
312,LATUR,18.4087934,76.5603828
313,YESVANTPURJN,13.02147,77.53536
314,PURI,19.8133822,85.8314655
315,JHAJHA,24.7744999,86.3756867
316,SAHARSAJN,25.8733726,86.594274
317,JAIPUR,26.9124336,75.7872709
318,GONDIAJN,21.461611,80.192908
319,SAINAGARSHIRDI,19.7584642,74.5770781
320,FARRUKHABAD,27.3826126,79.5940544
321,BANKA,24.8874179,86.919838
322,JAISALMER,26.9157487,70.9083443
323,RADHIKAPUR,25.6430619,88.4475808
324,SALEMJN,11.6702698,78.113323
325,AKOLAJN,20.7233388,77.0057059
326,GANDHINAGARCAP,23.2349145,72.6302311
327,ISLAMPUR,26.2546438,88.1974148
328,BHIWANI,28.7990445,76.1335112
329,NARASAPUR,16.4329833,81.6966198
330,PARADIP,20.3165523,86.6113628
331,DARBHANGAJN,26.1557428,85.9076124
332,RAIGARH,21.8974003,83.3949632
333,TOKURSEONG,26.882953,88.276948
334,MANIKPURJN,25.0635196,81.09366
335,KANPURANWRGANJ,26.457218,80.3289701
336,NEWAMRAVATI,20.8534461,77.7311289
337,ITARSIJN,22.6082196,77.7670225
338,MADHUPURJN,24.2706857,86.6426876
339,SHORANURJN,10.7592773,76.2714453
340,SADULPURJN,28.6309906,75.3862132
341,GUDURJN,14.1483769,79.8454301
342,BOLARUM,17.5287165,78.5149691
343,SILIGURI,26.7083818,88.4268741
344,PARBHANIJN,19.2576585,76.7735879
345,IZZATNAGAR,28.4025574,79.4245216
346,MAYILADUTURAIJ,11.1018399,79.6522218
347,BORIVALI,19.2371877,72.8441358
348,TODARJEELING,27.0360066,88.2626751
349,KISHANGANJ,26.0917422,87.9383822
350,SULTANGANJ,25.2401294,86.7404395
351,MURLIGANJ,25.901024,86.9949372
